2026-07-09 12:17:24,385 | INFO | Pipeline=Bronze | Tabela=uf | Status=SUCESSO | Input=145 | Output=145 | Colunas=15 | Tempo=0:00:01.788551Bronze=0.02Silver=0.02
2026-07-09 12:17:25,983 | INFO | Pipeline=Bronze | Tabela=meta_alfabetizacao_brasil | Status=SUCESSO | Input=3 | Output=3 | Colunas=11 | Tempo=0:00:01.596106Bronze=0.01Silver=0.01
2026-07-09 12:17:30,338 | INFO | Pipeline=Bronze | Tabela=meta_alfabetizacao_municipio | Status=SUCESSO | Input=10704 | Output=10704 | Colunas=13 | Tempo=0:00:04.354515Bronze=0.21Silver=0.21
2026-07-09 12:17:32,016 | INFO | Pipeline=Bronze | Tabela=meta_alfabetizacao_uf | Status=SUCESSO | Input=81 | Output=81 | Colunas=12 | Tempo=0:00:01.676454Bronze=0.01Silver=0.01
2026-07-09 14:19:17,440 | INFO | Pipeline=Silver | Tabela=alunos | Status=SUCESSO | Input=3868011 | Output=3868003 | Colunas=16 | Tempo=0:00:20.223335Bronze=67.59Silver=76.72
2026-07-09 14:19:17,619 | INFO | Pipeline=Silver | Tabela=municipio | Status=SUCESSO | Input=23995 | Output=23995 | Colunas=18 | Tempo=0:00:00.176131Bronze=0.47Silver=0.57
2026-07-09 14:19:17,693 | INFO | Pipeline=Silver | Tabela=uf | Status=SUCESSO | Input=145 | Output=145 | Colunas=18 | Tempo=0:00:00.072960Bronze=0.02Silver=0.02
2026-07-09 14:19:17,727 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_brasil | Status=SUCESSO | Input=3 | Output=3 | Colunas=11 | Tempo=0:00:00.032279Bronze=0.01Silver=0.01
2026-07-09 14:19:17,808 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_municipio | Status=SUCESSO | Input=10704 | Output=10704 | Colunas=16 | Tempo=0:00:00.080647Bronze=0.21Silver=0.28
2026-07-09 14:19:17,842 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_uf | Status=SUCESSO | Input=81 | Output=81 | Colunas=15 | Tempo=0:00:00.032622Bronze=0.01Silver=0.01
